ticket_id,priority,open_group,routing_groups,closed_group,resolution_hours
TKT-0056,P2,Service Desk,Application Development|Database Administration,Database Administration,15.6
TKT-0057,P3,Service Desk,Desktop Support,Desktop Support,3.4
TKT-0058,P1,Service Desk,Security Operations|Identity & Access,Identity & Access,25.7
TKT-0059,P4,Service Desk,Email & Collaboration,Email & Collaboration,1.7
TKT-0060,P3,Service Desk,Cloud Infrastructure,Cloud Infrastructure,7.8
TKT-0061,P2,Service Desk,Network Operations|Cloud Infrastructure,Cloud Infrastructure,21.3
TKT-0062,P3,Service Desk,Desktop Support,Desktop Support,4.3
TKT-0063,P2,Service Desk,Application Development,Application Development,11.2
TKT-0064,P3,Help Desk,Desktop Support,Desktop Support,5.4
TKT-0065,P2,Service Desk,Network Operations,Network Operations,10.6
TKT-0066,P1,Service Desk,Change Management|Application Development,Application Development,30.1
TKT-0067,P3,Service Desk,Vendor Management,Vendor Management,6.9
TKT-0068,P4,Service Desk,,Service Desk,0.7
TKT-0069,P3,Service Desk,Storage & Backup,Storage & Backup,5.8
TKT-0070,P2,Service Desk,Network Operations|Cloud Infrastructure,Cloud Infrastructure,18.9
TKT-0071,P3,Service Desk,Desktop Support,Desktop Support,4.6
TKT-0072,P2,Help Desk,Network Operations,Network Operations,9.1
TKT-0073,P3,Service Desk,Application Development|Database Administration,Database Administration,16.2
TKT-0074,P1,Service Desk,Security Operations,Security Operations,20.5
TKT-0075,P4,Service Desk,Desktop Support,Desktop Support,3.7
TKT-0076,P2,Service Desk,Network Operations|Cloud Infrastructure,Cloud Infrastructure,19.7
TKT-0077,P3,Help Desk,Email & Collaboration,Email & Collaboration,3.2
TKT-0078,P1,Service Desk,Change Management|Cloud Infrastructure|Application Development,Application Development,34.8
TKT-0079,P3,Service Desk,Desktop Support,Desktop Support,5.0
TKT-0080,P2,Service Desk,Application Development,Application Development,13.5
